Date;Close
21-02-2025;6.04
20-02-2025;6.05
19-02-2025;6.21
18-02-2025;6.20
17-02-2025;6.15
14-02-2025;6.01
13-02-2025;6.09
12-02-2025;6.13
11-02-2025;6.13
10-02-2025;6.12
07-02-2025;6.12
06-02-2025;6.08
05-02-2025;6.07
04-02-2025;6.08
03-02-2025;6.15
31-01-2025;6.14
30-01-2025;6.05
29-01-2025;5.99
28-01-2025;6.03
27-01-2025;5.99
24-01-2025;6.06
23-01-2025;6.14
22-01-2025;6.03
21-01-2025;6.03
20-01-2025;5.93
17-01-2025;5.96
16-01-2025;5.88
15-01-2025;5.82
14-01-2025;5.78
13-01-2025;5.77
10-01-2025;5.74
09-01-2025;5.76
08-01-2025;5.74
07-01-2025;5.68
06-01-2025;5.66
03-01-2025;5.74
02-01-2025;5.74
31-12-2024;5.67
30-12-2024;5.67
27-12-2024;5.71
24-12-2024;5.69
23-12-2024;5.66
20-12-2024;5.68
19-12-2024;5.65
18-12-2024;5.69
17-12-2024;5.68
16-12-2024;5.72
13-12-2024;5.68
12-12-2024;5.69
11-12-2024;5.72
10-12-2024;5.69
09-12-2024;5.66
06-12-2024;5.74
05-12-2024;5.78
04-12-2024;5.86
03-12-2024;5.81
02-12-2024;5.82
29-11-2024;5.79
28-11-2024;5.76
27-11-2024;5.74
26-11-2024;5.78
25-11-2024;5.73
22-11-2024;5.82
21-11-2024;5.77
20-11-2024;5.65
19-11-2024;5.66
18-11-2024;5.65
15-11-2024;5.64
14-11-2024;5.73
13-11-2024;5.86
12-11-2024;5.83
11-11-2024;5.90
08-11-2024;5.76
07-11-2024;5.67
06-11-2024;5.66
05-11-2024;5.46
04-11-2024;5.43
01-11-2024;5.45
31-10-2024;5.42
30-10-2024;5.52
29-10-2024;5.54
28-10-2024;5.58
25-10-2024;5.60
24-10-2024;5.63
23-10-2024;5.65
22-10-2024;5.65
21-10-2024;5.73
18-10-2024;5.72
17-10-2024;5.75
16-10-2024;5.66
15-10-2024;5.62
14-10-2024;5.61
11-10-2024;5.55
10-10-2024;5.50
09-10-2024;5.53
08-10-2024;5.52
07-10-2024;5.54
04-10-2024;5.51
03-10-2024;5.49
02-10-2024;5.52
01-10-2024;5.50
30-09-2024;5.40
27-09-2024;5.39
26-09-2024;5.41
25-09-2024;5.42
24-09-2024;5.41
23-09-2024;5.42
20-09-2024;5.37
19-09-2024;5.36
18-09-2024;5.31
17-09-2024;5.31
16-09-2024;5.33
13-09-2024;5.37
12-09-2024;5.35
11-09-2024;5.26
10-09-2024;5.32
09-09-2024;5.31
06-09-2024;5.22
05-09-2024;5.29
04-09-2024;5.35
03-09-2024;5.35
02-09-2024;5.43
30-08-2024;5.46
29-08-2024;5.47
28-08-2024;5.42
27-08-2024;5.35
26-08-2024;5.34
23-08-2024;5.36
22-08-2024;5.34
21-08-2024;5.34
20-08-2024;5.31
19-08-2024;5.38
16-08-2024;5.40
15-08-2024;5.38
14-08-2024;5.32
13-08-2024;5.27
12-08-2024;5.27
09-08-2024;5.27
08-08-2024;5.16
07-08-2024;5.25
06-08-2024;5.16
05-08-2024;5.07
02-08-2024;5.19
01-08-2024;5.34
31-07-2024;5.41
30-07-2024;5.35
29-07-2024;5.27
26-07-2024;5.28
25-07-2024;5.22
24-07-2024;5.16
23-07-2024;5.20
22-07-2024;5.09
19-07-2024;5.07
18-07-2024;5.13
17-07-2024;5.13
16-07-2024;5.16
15-07-2024;5.09
12-07-2024;5.08
11-07-2024;5.09
